Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
S1	S2	0	0	NA	1	1
S1	S3	0	0	NA	1	1
S1	S4	0	0	NA	1	1
S1	S5	0	0	NA	1	1
S1	S6	0	0	NA	1	1
S1	S7	0	0	NA	1	1
S1	S8	0	0	NA	1	1
S1	S9	0	0	NA	1	1
S1	S10	0	0	NA	1	1
S1	S11	0	0	NA	1	1
S1	S12	0	0	NA	1	1
S1	S13	0	0	NA	1	1
S1	S14	0	0	NA	1	1
S1	S15	0	0	NA	1	1
S1	S16	0	0	NA	1	1
S1	S17	0	0	NA	1	1
S1	S18	0	0	NA	1	1
S1	S19	0	0	NA	1	1
S1	S20	0	0	NA	1	1
S1	S21	0	0	NA	1	1
S1	S22	0	0	NA	1	1
S1	S23	0	0	NA	1	1
S1	S24	0	0	NA	1	1
S1	S25	0	0	NA	1	1
S2	S3	0	0	NA	1	1
S2	S4	988	268	6.7227607833188	1	0.000999000999000999
S2	S5	0	0	NA	1	1
S2	S6	30	210	-4.92769252652105	0.000999000999000999	1
S2	S7	792	456	4.20704526330951	1	0.000999000999000999
S2	S8	0	0	NA	1	1
S2	S9	0	0	NA	1	1
S2	S10	0	0	NA	1	1
S2	S11	198	268	-0.479328417036989	0.47952047952048	0.786213786213786
S2	S12	0	81	-0.698496447429458	0.641358641358641	1
S2	S13	1088	318	6.34113465414512	1	0.000999000999000999
S2	S14	0	0	NA	1	1
S2	S15	0	0	NA	1	1
S2	S16	1152	312	6.46949767360363	1	0.000999000999000999
S2	S17	0	0	NA	1	1
S2	S18	0	0	NA	1	1
S2	S19	0	0	NA	1	1
S2	S20	0	0	NA	1	1
S2	S21	0	0	NA	1	1
S2	S22	0	0	NA	1	1
S2	S23	0	0	-0.887534574811036	0.49050949050949	1
S2	S24	12	126	-4.78400148234274	0.000999000999000999	1
S2	S25	0	68	-4.59254464105736	0.000999000999000999	1
S3	S4	0	0	NA	1	1
S3	S5	0	0	NA	1	1
S3	S6	0	0	NA	1	1
S3	S7	0	0	NA	1	1
S3	S8	0	0	NA	1	1
S3	S9	0	0	NA	1	1
S3	S10	0	0	NA	1	1
S3	S11	0	0	NA	1	1
S3	S12	0	0	NA	1	1
S3	S13	0	0	NA	1	1
S3	S14	0	0	NA	1	1
S3	S15	0	0	NA	1	1
S3	S16	0	0	NA	1	1
S3	S17	0	0	NA	1	1
S3	S18	0	0	NA	1	1
S3	S19	0	0	NA	1	1
S3	S20	0	0	NA	1	1
S3	S21	0	0	NA	1	1
S3	S22	0	0	NA	1	1
S3	S23	0	0	NA	1	1
S3	S24	0	0	NA	1	1
S3	S25	0	0	NA	1	1
S4	S5	0	0	NA	1	1
S4	S6	740	201	4.64173879469478	1	0.000999000999000999
S4	S7	78	414	-2.9668940314729	0.001998001998002	1
S4	S8	0	0	NA	1	1
S4	S9	0	0	NA	1	1
S4	S10	0	0	NA	1	1
S4	S11	256	225	0.337396159939268	0.757242757242757	0.496503496503497
S4	S12	38	38	0.691472549519793	1	0.657342657342657
S4	S13	80	336	-3.77759757177165	0.000999000999000999	1
S4	S14	0	0	NA	1	1
S4	S15	0	0	NA	1	1
S4	S16	60	348	-3.8357071965041	0.000999000999000999	1
S4	S17	0	0	NA	1	1
S4	S18	0	0	NA	1	1
S4	S19	0	0	NA	1	1
S4	S20	0	0	NA	1	1
S4	S21	0	0	NA	1	1
S4	S22	0	0	NA	1	1
S4	S23	36	57	-0.779553039575263	0.438561438561439	0.922077922077922
S4	S24	480	152	4.47385585380094	1	0.001998001998002
S4	S25	320	156	3.34994537522481	0.998001998001998	0.00599400599400599
S5	S6	0	0	NA	1	1
S5	S7	0	0	NA	1	1
S5	S8	0	0	NA	1	1
S5	S9	0	0	NA	1	1
S5	S10	0	0	NA	1	1
S5	S11	0	0	NA	1	1
S5	S12	0	0	NA	1	1
S5	S13	0	0	NA	1	1
S5	S14	0	0	NA	1	1
S5	S15	0	0	NA	1	1
S5	S16	0	0	NA	1	1
S5	S17	0	0	NA	1	1
S5	S18	0	0	NA	1	1
S5	S19	0	0	NA	1	1
S5	S20	0	0	NA	1	1
S5	S21	0	0	NA	1	1
S5	S22	0	0	NA	1	1
S5	S23	0	0	NA	1	1
S5	S24	0	0	NA	1	1
S5	S25	0	0	NA	1	1
S6	S7	748	468	3.92905310104706	1	0.000999000999000999
S6	S8	0	0	NA	1	1
S6	S9	0	0	NA	1	1
S6	S10	0	0	NA	1	1
S6	S11	345	201	1.02640834219697	0.914085914085914	0.237762237762238
S6	S12	0	0	-0.686219253542074	0.655344655344655	1
S6	S13	868	385	4.49148938199353	1	0.000999000999000999
S6	S14	0	0	NA	1	1
S6	S15	0	0	NA	1	1
S6	S16	1008	318	5.61586050971617	1	0.000999000999000999
S6	S17	0	0	NA	1	1
S6	S18	0	0	NA	1	1
S6	S19	0	0	NA	1	1
S6	S20	0	0	NA	1	1
S6	S21	0	0	NA	1	1
S6	S22	0	0	NA	1	1
S6	S23	81	164	0.61328625463441	0.904095904095904	0.466533466533467
S6	S24	0	96	-5.34001157855828	0.000999000999000999	1
S6	S25	13	85	-4.08270500813701	0.001998001998002	1
S7	S8	0	0	NA	1	1
S7	S9	0	0	NA	1	1
S7	S10	0	0	NA	1	1
S7	S11	210	470	-1.72871819317467	0.051948051948052	0.985014985014985
S7	S12	55	112	0.142041151722284	0.819180819180819	0.715284715284715
S7	S13	162	396	-3.49210748600214	0.000999000999000999	1
S7	S14	0	0	NA	1	1
S7	S15	0	0	NA	1	1
S7	S16	69	800	-4.33265982141803	0.000999000999000999	1
S7	S17	0	0	NA	1	1
S7	S18	0	0	NA	1	1
S7	S19	0	0	NA	1	1
S7	S20	0	0	NA	1	1
S7	S21	0	0	NA	1	1
S7	S22	0	0	NA	1	1
S7	S23	110	110	0.773134907858028	0.924075924075924	0.430569430569431
S7	S24	308	210	2.15839115467092	1	0.046953046953047
S7	S25	220	172	1.76745843002538	1	0.0969030969030969
S8	S9	0	0	NA	1	1
S8	S10	0	0	NA	1	1
S8	S11	0	0	NA	1	1
S8	S12	0	0	NA	1	1
S8	S13	0	0	NA	1	1
S8	S14	0	0	NA	1	1
S8	S15	0	0	NA	1	1
S8	S16	0	0	NA	1	1
S8	S17	0	0	NA	1	1
S8	S18	0	0	NA	1	1
S8	S19	0	0	NA	1	1
S8	S20	0	0	NA	1	1
S8	S21	0	0	NA	1	1
S8	S22	0	0	NA	1	1
S8	S23	0	0	NA	1	1
S8	S24	0	0	NA	1	1
S8	S25	0	0	NA	1	1
S9	S10	0	0	NA	1	1
S9	S11	0	0	NA	1	1
S9	S12	0	0	NA	1	1
S9	S13	0	0	NA	1	1
S9	S14	0	0	NA	1	1
S9	S15	0	0	NA	1	1
S9	S16	0	0	NA	1	1
S9	S17	0	0	NA	1	1
S9	S18	0	0	NA	1	1
S9	S19	0	0	NA	1	1
S9	S20	0	0	NA	1	1
S9	S21	0	0	NA	1	1
S9	S22	0	0	NA	1	1
S9	S23	0	0	NA	1	1
S9	S24	0	0	NA	1	1
S9	S25	0	0	NA	1	1
S10	S11	0	0	NA	1	1
S10	S12	0	0	NA	1	1
S10	S13	0	0	NA	1	1
S10	S14	0	0	NA	1	1
S10	S15	0	0	NA	1	1
S10	S16	0	0	NA	1	1
S10	S17	0	0	NA	1	1
S10	S18	0	0	NA	1	1
S10	S19	0	0	NA	1	1
S10	S20	0	0	NA	1	1
S10	S21	0	0	NA	1	1
S10	S22	0	0	NA	1	1
S10	S23	0	0	NA	1	1
S10	S24	0	0	NA	1	1
S10	S25	0	0	NA	1	1
S11	S12	38	18	0.656991037725735	1	0.679320679320679
S11	S13	297	336	-0.811231430324774	0.292707292707293	0.859140859140859
S11	S14	0	0	NA	1	1
S11	S15	0	0	NA	1	1
S11	S16	270	308	-1.18632660347778	0.165834165834166	0.929070929070929
S11	S17	0	0	NA	1	1
S11	S18	0	0	NA	1	1
S11	S19	0	0	NA	1	1
S11	S20	0	0	NA	1	1
S11	S21	0	0	NA	1	1
S11	S22	0	0	NA	1	1
S11	S23	57	57	0.850897914930265	1	0.536463536463537
S11	S24	152	152	0.445921906856482	0.822177822177822	0.484515484515485
S11	S25	77	77	-0.121514000448936	0.704295704295704	0.717282717282717
S12	S13	70	70	1.06149473827627	1	0.416583416583417
S12	S14	0	0	NA	1	1
S12	S15	0	0	NA	1	1
S12	S16	72	0	1.08226052439056	1	0.402597402597403
S12	S17	0	0	NA	1	1
S12	S18	0	0	NA	1	1
S12	S19	0	0	NA	1	1
S12	S20	0	0	NA	1	1
S12	S21	0	0	NA	1	1
S12	S22	0	0	NA	1	1
S12	S23	6	6	0.238799853389525	1	0.946053946053946
S12	S24	0	0	-0.423539002164668	0.844155844155844	1
S12	S25	0	0	-0.34169247358405	0.891108891108891	1
S13	S14	0	0	NA	1	1
S13	S15	0	0	NA	1	1
S13	S16	156	506	-3.65005663574816	0.000999000999000999	1
S13	S17	0	0	NA	1	1
S13	S18	0	0	NA	1	1
S13	S19	0	0	NA	1	1
S13	S20	0	0	NA	1	1
S13	S21	0	0	NA	1	1
S13	S22	0	0	NA	1	1
S13	S23	68	68	-0.0148475193532818	0.697302697302697	0.73026973026973
S13	S24	455	120	3.38167936033634	1	0.003996003996004
S13	S25	256	124	2.00938929255163	0.993006993006993	0.0659340659340659
S14	S15	0	0	NA	1	1
S14	S16	0	0	NA	1	1
S14	S17	0	0	NA	1	1
S14	S18	0	0	NA	1	1
S14	S19	0	0	NA	1	1
S14	S20	0	0	NA	1	1
S14	S21	0	0	NA	1	1
S14	S22	0	0	NA	1	1
S14	S23	0	0	NA	1	1
S14	S24	0	0	NA	1	1
S14	S25	0	0	NA	1	1
S15	S16	0	0	NA	1	1
S15	S17	0	0	NA	1	1
S15	S18	0	0	NA	1	1
S15	S19	0	0	NA	1	1
S15	S20	0	0	NA	1	1
S15	S21	0	0	NA	1	1
S15	S22	0	0	NA	1	1
S15	S23	0	0	NA	1	1
S15	S24	0	0	NA	1	1
S15	S25	0	0	NA	1	1
S16	S17	0	0	NA	1	1
S16	S18	0	0	NA	1	1
S16	S19	0	0	NA	1	1
S16	S20	0	0	NA	1	1
S16	S21	0	0	NA	1	1
S16	S22	0	0	NA	1	1
S16	S23	70	70	-0.0494666897145612	0.697302697302697	0.759240759240759
S16	S24	448	118	3.50822024264984	1	0.000999000999000999
S16	S25	320	60	2.8252251308679	1	0.012987012987013
S17	S18	0	0	NA	1	1
S17	S19	0	0	NA	1	1
S17	S20	0	0	NA	1	1
