Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
S2	S4	988	268	6.7227607833188	1	0.000999000999000999
S2	S6	30	210	-4.92769252652105	0.000999000999000999	1
S2	S7	792	456	4.20704526330951	1	0.000999000999000999
S2	S13	1088	318	6.34113465414512	1	0.000999000999000999
S2	S16	1152	312	6.46949767360363	1	0.000999000999000999
S2	S24	12	126	-4.78400148234274	0.000999000999000999	1
S2	S25	0	68	-4.59254464105736	0.000999000999000999	1
S4	S6	740	201	4.64173879469478	1	0.000999000999000999
S4	S7	78	414	-2.9668940314729	0.001998001998002	1
S4	S13	80	336	-3.77759757177165	0.000999000999000999	1
S4	S16	60	348	-3.8357071965041	0.000999000999000999	1
S4	S24	480	152	4.47385585380094	1	0.001998001998002
S4	S25	320	156	3.34994537522481	0.998001998001998	0.00599400599400599
S6	S7	748	468	3.92905310104706	1	0.000999000999000999
S6	S13	868	385	4.49148938199353	1	0.000999000999000999
S6	S16	1008	318	5.61586050971617	1	0.000999000999000999
S6	S24	0	96	-5.34001157855828	0.000999000999000999	1
S6	S25	13	85	-4.08270500813701	0.001998001998002	1
S7	S13	162	396	-3.49210748600214	0.000999000999000999	1
S7	S16	69	800	-4.33265982141803	0.000999000999000999	1
S7	S24	308	210	2.15839115467092	1	0.046953046953047
S13	S16	156	506	-3.65005663574816	0.000999000999000999	1
S13	S24	455	120	3.38167936033634	1	0.003996003996004
S16	S24	448	118	3.50822024264984	1	0.000999000999000999
S16	S25	320	60	2.8252251308679	1	0.012987012987013
S24	S25	15	24	-3.49647636750026	0.022977022977023	0.998001998001998
