Col	Row	Sps1	Sps2	C-scoreObs	C-scoreExp	p.less	p.greater	ses
1	3	S1	S3	0	0.988	0.012987012987013	1	-9.0692337052256
1	5	S1	S5	0	0.987	0.013986013986014	1	-8.70902714694092
1	8	S1	S8	0	0.993	0.00799200799200799	1	-11.9044229475555
1	9	S1	S9	0	0.993	0.00799200799200799	1	-11.9044229475555
1	10	S1	S10	0	0.989	0.011988011988012	1	-9.47729823410564
1	12	S1	S12	0	1.96	0.020979020979021	1	-6.99649912456223
1	14	S1	S14	0	0.988	0.012987012987013	1	-9.0692337052256
1	15	S1	S15	0	0.987	0.013986013986014	1	-8.70902714694092
1	17	S1	S17	0	0.993	0.00799200799200799	1	-11.9044229475555
1	18	S1	S18	0	0.988	0.012987012987013	1	-9.0692337052256
1	19	S1	S19	0	0.993	0.00799200799200799	1	-11.9044229475555
1	20	S1	S20	0	0.991	0.00999000999000999	1	-10.4881361547226
1	21	S1	S21	0	0.984	0.016983016983017	1	-7.83827149312908
1	22	S1	S22	0	0.989	0.011988011988012	1	-9.47729823410564
1	23	S1	S23	0	2.901	0.033966033966034	1	-5.4105200556626
2	4	S2	S4	988	455.134	1	0.000999000999000999	4.19191561632216
2	6	S2	S6	30	109.842	0.000999000999000999	1	-2.94137737080898
2	7	S2	S7	792	469.28	1	0.001998001998002	3.68411549569042
2	13	S2	S13	1088	590.238	1	0.000999000999000999	4.061164186426
2	16	S2	S16	1152	602.798	1	0.000999000999000999	4.53812202159687
2	24	S2	S24	12	89.24	0.000999000999000999	1	-3.34884675515283
2	25	S2	S25	0	62.768	0.000999000999000999	1	-3.30349112144876
3	5	S3	S5	0	0.996	0.004995004995005	1	-15.7718419976869
3	8	S3	S8	0	0.988	0.012987012987013	1	-9.0692337052256
3	9	S3	S9	0	0.988	0.012987012987013	1	-9.0692337052256
3	10	S3	S10	0	0.988	0.012987012987013	1	-9.0692337052256
3	12	S3	S12	0	1.964	0.018981018981019	1	-7.38247925835217
3	14	S3	S14	0	0.995	0.00599400599400599	1	-14.0996808474518
3	15	S3	S15	0	0.99	0.010989010989011	1	-9.94489818952411
3	17	S3	S17	0	0.991	0.00999000999000999	1	-10.4881361547226
3	18	S3	S18	0	0.989	0.011988011988012	1	-9.47729823410564
3	19	S3	S19	0	0.993	0.00799200799200799	1	-11.9044229475555
3	20	S3	S20	0	0.992	0.00899100899100899	1	-11.1299595686597
3	21	S3	S21	0	0.992	0.00899100899100899	1	-11.1299595686597
3	22	S3	S22	0	0.991	0.00999000999000999	1	-10.4881361547226
3	23	S3	S23	0	2.928	0.024975024975025	1	-6.37385283796229
4	6	S4	S6	740	410.384	0.998001998001998	0.017982017982018	2.65598809987398
4	11	S4	S11	256	167.239	0.987012987012987	0.042957042957043	2.11603662465713
4	23	S4	S23	36	56.433	0.027972027972028	1	-6.00008333275464
4	24	S4	S24	480	125.325	1	0.001998001998002	4.16513340206825
4	25	S4	S25	320	78.465	1	0.00699300699300699	3.51639503780544
5	8	S5	S8	0	0.987	0.013986013986014	1	-8.70902714694092
5	9	S5	S9	0	0.988	0.012987012987013	1	-9.0692337052256
5	10	S5	S10	0	0.985	0.015984015984016	1	-8.09944442539116
5	12	S5	S12	0	1.952	0.024975024975025	1	-6.3738528379623
5	14	S5	S14	0	0.988	0.012987012987013	1	-9.0692337052256
5	15	S5	S15	0	0.993	0.00799200799200799	1	-11.9044229475555
5	17	S5	S17	0	0.988	0.012987012987013	1	-9.0692337052256
5	18	S5	S18	0	0.993	0.00799200799200799	1	-11.9044229475555
5	19	S5	S19	0	0.994	0.00699300699300699	1	-12.8647191963136
5	20	S5	S20	0	0.993	0.00799200799200799	1	-11.9044229475555
5	21	S5	S21	0	0.995	0.00599400599400599	1	-14.0996808474518
5	22	S5	S22	0	0.988	0.012987012987013	1	-9.0692337052256
5	23	S5	S23	0	2.874	0.042957042957043	1	-4.77354315846356
6	7	S6	S7	748	444.86	1	0.003996003996004	3.35686635774534
6	13	S6	S13	868	544.233	0.998001998001998	0.00999000999000999	2.73048513820384
6	16	S6	S16	1008	557.464	1	0.001998001998002	3.85760348691319
6	24	S6	S24	0	87.124	0.000999000999000999	1	-4.084671458471
6	25	S6	S25	13	60.16	0.00999000999000999	1	-2.70319912139168
7	12	S7	S12	55	112	0.000999000999000999	1	-Inf
7	16	S7	S16	69	199.987	0.026973026973027	0.991008991008991	-1.90167420731167
7	24	S7	S24	308	172.376	1	0.01998001998002	2.40491411137148
8	9	S8	S9	0	0.991	0.00999000999000999	1	-10.4881361547226
8	10	S8	S10	0	0.988	0.012987012987013	1	-9.0692337052256
8	12	S8	S12	0	1.944	0.028971028971029	1	-5.88893635799976
8	14	S8	S14	0	0.992	0.00899100899100899	1	-11.1299595686597
8	15	S8	S15	0	0.988	0.012987012987013	1	-9.0692337052256
8	17	S8	S17	0	0.991	0.00999000999000999	1	-10.4881361547226
